Host id: 2,,,,,,,,,,,,,,,,
frame,id_2 cent_x,id_2 cent_y,id_2 clos_x,id_2 clos_y,id_4 cent_x,id_4 cent_y,id_4 clos_x,id_4 clos_y,id_1 cent_x,id_1 cent_y,id_1 clos_x,id_1 clos_y,id_3 cent_x,id_3 cent_y,id_3 clos_x,id_3 clos_y
0,2391,1137,2391,1137,158,1763,299,1733,2443,1423,2404,1357,223,1118,334,1137
1,2391,1136,2391,1136,158,1762,297,1729,2444,1424,2406,1357,222,1118,334,1136
2,2391,1137,2391,1137,158,1763,298,1732,2443,1423,2406,1357,223,1118,334,1137
3,2392,1137,2392,1137,157,1762,297,1729,2443,1423,2405,1357,223,1118,334,1137
4,2391,1136,2391,1136,158,1763,297,1729,2444,1423,2405,1357,221,1118,334,1136
5,2392,1136,2392,1136,157,1763,297,1729,2444,1423,2405,1357,223,1117,334,1136
6,2392,1136,2392,1136,157,1763,299,1735,2444,1423,2408,1357,222,1118,333,1136
7,2392,1136,2392,1136,158,1763,299,1735,2444,1423,2415,1358,223,1118,334,1136
8,2392,1135,2392,1135,158,1763,298,1731,2444,1423,2409,1357,226,1118,338,1135
9,2392,1135,2392,1135,158,1763,296,1725,2443,1423,2409,1357,222,1118,334,1135
10,2392,1135,2392,1135,157,1763,296,1724,2443,1423,2410,1357,227,1118,338,1135
11,2393,1135,2393,1135,157,1763,296,1724,2442,1423,2410,1356,226,1118,339,1116
12,2393,1135,2393,1135,157,1763,296,1724,2442,1423,2415,1355,226,1117,339,1116
13,2393,1134,2393,1134,156,1763,296,1724,2443,1422,2416,1355,226,1118,338,1135
14,2393,1134,2393,1134,156,1763,295,1720,2443,1422,2409,1355,226,1118,338,1130
15,2393,1134,2393,1134,156,1762,295,1719,2443,1422,2412,1355,226,1118,338,1133
16,2393,1133,2393,1133,155,1762,295,1720,2442,1422,2411,1356,227,1117,339,1119
17,2393,1134,2393,1134,155,1762,294,1718,2442,1422,2406,1357,226,1117,338,1134
18,2391,1132,2391,1132,155,1762,294,1718,2441,1422,2406,1356,228,1117,339,1118
19,2391,1131,2391,1131,155,1762,293,1716,2441,1422,2405,1357,229,1116,339,1117
20,2391,1132,2391,1132,161,1757,293,1717,2442,1422,2414,1356,228,1116,339,1116
21,2389,1130,2389,1130,160,1757,293,1717,2441,1422,2404,1357,227,1116,339,1116
22,2389,1130,2389,1130,155,1763,293,1716,2441,1421,2408,1355,227,1116,339,1137
23,2389,1130,2389,1130,155,1763,293,1718,2443,1421,2409,1354,227,1116,338,1130
24,2391,1130,2391,1130,155,1763,292,1716,2443,1420,2409,1354,220,1119,335,1130
25,2391,1131,2391,1131,161,1756,293,1720,2442,1422,2404,1356,219,1119,335,1131
26,2391,1131,2391,1131,161,1756,293,1720,2443,1420,2408,1354,219,1119,335,1132
27,2390,1130,2390,1130,162,1756,293,1720,2442,1420,2405,1355,218,1119,335,1139
28,2390,1130,2390,1130,162,1756,293,1722,2442,1420,2407,1355,223,1117,335,1130
29,2389,1129,2389,1129,157,1761,293,1720,2441,1420,2406,1356,218,1119,334,1129
30,2386,1128,2386,1128,157,1762,293,1721,2441,1420,2408,1355,218,1119,335,1128
31,2386,1127,2386,1127,157,1762,292,1717,2442,1420,2408,1355,221,1116,335,1127
32,2386,1128,2386,1128,156,1762,292,1718,2442,1419,2409,1354,216,1119,334,1128
