Host id: 2,,,,,,,,,,,,,,,,
frame,id_2 cent_x,id_2 cent_y,id_2 clos_x,id_2 clos_y,id_4 cent_x,id_4 cent_y,id_4 clos_x,id_4 clos_y,id_1 cent_x,id_1 cent_y,id_1 clos_x,id_1 clos_y,id_3 cent_x,id_3 cent_y,id_3 clos_x,id_3 clos_y
0,1911,966,1911,966,192,1380,365,1338,3388,1020,3156,1014,269,498,468,543
1,1911,966,1911,966,189,1389,365,1332,3388,1020,3156,1014,266,498,468,540
2,1908,966,1908,966,186,1374,362,1329,3391,1020,3159,1008,266,492,468,540
3,1908,966,1908,966,186,1374,362,1332,3391,1020,3159,1011,266,492,468,540
4,1908,966,1908,966,186,1374,362,1332,3391,1020,3159,1014,266,495,465,546
5,1908,966,1908,966,186,1374,362,1332,3391,1020,3159,1011,266,495,465,546
6,1908,966,1908,966,186,1374,362,1332,3391,1020,3159,1011,266,495,465,546
7,1908,966,1908,966,186,1374,362,1335,3388,1020,3159,1008,269,495,468,537
8,1908,966,1908,966,186,1374,362,1335,3391,1020,3159,1026,269,495,465,546
9,1908,966,1908,966,186,1377,362,1335,3388,1020,3159,1014,266,495,465,543
10,1908,966,1908,966,189,1389,365,1347,3388,1020,3159,1011,266,495,465,543
11,1908,966,1908,966,186,1377,362,1335,3388,1020,3159,1008,269,495,465,543
12,1908,966,1908,966,186,1377,362,1335,3388,1020,3159,1014,266,492,465,543
13,1908,966,1908,966,186,1377,359,1329,3388,1020,3159,1014,266,492,465,543
14,1908,966,1908,966,186,1377,359,1326,3388,1020,3159,1014,266,492,465,543
15,1908,966,1908,966,186,1377,362,1335,3388,1020,3159,1011,266,492,465,543
16,1908,966,1908,966,186,1377,359,1329,3388,1020,3159,1017,266,498,461,549
17,1908,966,1908,966,186,1377,359,1329,3388,1020,3159,1026,263,498,461,549
18,1908,966,1908,966,186,1377,359,1329,3388,1020,3159,1023,266,498,461,552
19,1908,966,1908,966,192,1386,375,1368,3388,1020,3162,1005,266,492,465,543
20,1908,966,1908,966,186,1377,359,1329,3388,1020,3159,1017,266,489,465,543
21,1908,966,1908,966,186,1377,359,1329,3391,1020,3165,1005,266,492,465,543
